station_id,station_name,district,rack_count
282, 신한은행 대림동지점,영등포구,
283, 아크로타워 스퀘어(영등포시장),영등포구,
284, 센트럴 푸르지오 시티 앞,영등포구,
285,콤텍시스템 앞,영등포구,
286, 우성아파트 교차로,영등포구,
287, 영등포전화국사거리 (서강어린이공원),영등포구,
288, 쌍용예가(구청별관),영등포구,
289, 대림3동사거리,영등포구,
290,새말소공원,영등포구,
291, 문래동 하이테크 시티,영등포구,
292, 영일 어린이공원,영등포구,
293, 충북 미래관,영등포구,
295,영등포공원 분수대 앞,영등포구,10.0
296,KT플라자 영등포점,영등포구,20.0
297,국회3문,영등포구,10.0
298,KBS 연구동 건너편,영등포구,25.0
299,여의도 순복음교회,영등포구,10.0
300, 정동사거리,중구,6.0
301, 경복궁역 7번출구 앞,종로구,20.0
302, 경복궁역 4번출구 뒤,종로구,12.0
303, 광화문역 1번출구 앞,종로구,8.0
305, 종로구청 옆,종로구,16.0
307, 서울역사박물관 앞,종로구,11.0
308, 광화문 S타워 앞,종로구,31.0
309, 광화문역 6번출구 옆 B,종로구,13.0
310, 청계광장 옆,중구,8.0
314, 국립현대미술관,종로구,10.0
316, 종각역 1번출구 앞,종로구,8.0
318, 광교사거리 남측,중구,10.0
320, 을지로입구역 4번출구 앞,중구,17.0
321, KEB 하나금융그룹 명동사옥 옆,중구,15.0
322, 명동성당 앞,중구,10.0
324, 신세계백화점 본점 앞,중구,8.0
326, 안국역 5번출구 앞,종로구,15.0
327, 낙원상가 옆,종로구,10.0
328, 탑골공원 앞,종로구,11.0
329, 청계2가 사거리 옆,종로구,8.0
331, 을지로2가 사거리 북측,중구,10.0
332, 을지로2가 사거리 남측,중구,5.0
334, 종로3가역 2번출구 뒤,종로구,10.0
335, 종로3가역 15번출구 앞,종로구,10.0
336, 충무로역 6번출구 앞,중구,8.0
337, 창경궁 입구,종로구,5.0
338,세운스퀘어 앞,종로구,18.0
339, 종로4가 사거리,종로구,10.0
340, 혜화동 로터리,종로구,8.0
341, 혜화역 3번출구 뒤,종로구,8.0
342, 대학로 마로니에공원,종로구,22.0
343,힐스테이트창경궁 아파트 앞,종로구,6.0
344, 성균관대 E하우스 앞,종로구,10.0
345, 서울보증보험본사 앞,종로구,18.0
346, 맥스타일 앞,중구,10.0
347, 동대문역사문화공원역 9번출구 앞,중구,18.0
348, 독립문역 사거리,종로구,
349,어린이도서관,종로구,
351, 청운초교 앞 삼거리,종로구,
352, 중앙고입구 삼거리,종로구,
353, 재동초교 앞 삼거리,종로구,
354, 포르투갈 대사관 앞,종로구,10.0
355,서울사대부설초등학교 앞,종로구,15.0
356, KT혜화지사 앞,종로구,15.0
358,성균관대입구 사거리 A,종로구,13.0
359, 원남동사거리,종로구,
361, 동묘앞역 1번출구 뒤,종로구,
362, 청계8가 사거리 A,종로구,
363, 신설동역 11번출구 뒤,종로구,
364, 창신역 1번출구 앞,종로구,8.0
367, 독립문역 3-1번출구,종로구,13.0
368, SK 서린빌딩 앞,종로구,15.0
370, 시청역(2호선) 9번출구 뒤,중구,24.0
371, 동대입구역 6번출구 뒤,중구,10.0
372, 약수역 3번출구 뒤,중구,
374, 청구역 2번출구 앞,중구,
379, 서울역9번출구,중구,
380, CJ제일제당 앞,중구,
381, 장충체육관,중구,
382, 약수역 10번출구 앞,중구,
383, 신당역 12번 출구 뒤,중구,
384, 종로학원본원,중구,
385, 종각역 5번출구,종로구,
387, 훈련원공원주차장 앞,중구,
388, 동성중학교 앞,종로구,
389, 을지로4가역 1번출구,중구,
390, 충무로역 1번출구,중구,
391, 시립미술관,중구,8.0
393, 동대문역 8번 출구,종로구,
394, 경희궁 자이 3단지,종로구,15.0
397, 종묘공영주차장 건너편,종로구,
398, 을지로3가역 3번출구,중구,
399, 서울역 센트럴 자이아파트,중구,
400, 상암한화오벨리스크 1차 앞,마포구,14.0
401, 상암월드컵파크 10단지 앞,마포구,13.0
402, 상암월드컵파크 9단지 앞,마포구,20.0
403, 부엉이공원 앞,마포구,20.0
405, DMC빌 앞,마포구,8.0
406, 상암월드컵파크 7단지 앞,마포구,15.0
407, 마포구 육아종합지원센터,마포구,8.0
408, LG CNS앞,마포구,14.0
409, 누리꿈스퀘어 옆,마포구,30.0
410, 상암중학교 옆,마포구,10.0
411, DMC홍보관,마포구,10.0
412, DMC산학협력연구센터 앞,마포구,21.0
413, 상암월드컵파크 3단지 후문,마포구,10.0
414, 상암동주민센터 옆,마포구,8.0
415, DMC역 9번출구 앞,마포구,10.0
416, 상암월드컵파크 1단지 교차로,마포구,12.0
417, DMC역 2번출구 옆,마포구,20.0
418, 월드컵경기장역 3번출구 옆,마포구,20.0
419,홈플러스 마포점 앞,마포구,21.0
420, 서울시 공공자전거 상암센터,마포구,37.0
421, 마포구청 앞,마포구,8.0
422, 문화비축기지,마포구,9.0
424, 롯데하이마트 (상암월드컵점),마포구,
425, DMC첨단산업센터,마포구,
426, 서울신용보증재단,마포구,
427, 성산시영아파트,마포구,
428, 명보사거리,중구,
429, 송도병원,중구,
430, 장충동먹자골목 앞,중구,
431, 청계천 영도교,중구,25.0
432, 마포중앙도서관,마포구,
433, 을지로입구역 2번출구,중구,
434, 신당 래미안 버스정류장,중구,
435, SK 남산빌딩,중구,
436, 이대역 5번출구,마포구,
437, 대흥역1번출구,마포구,
438, 성산2-1 공영주차장,마포구,
440, 하늘공원 입구,마포구,
441,염천교사거리,중구,15.0
442,서울역 서부,중구,13.0
443,호암아트홀,중구,9.0
445,대한상공회의소,중구,15.0
446, 상명대입구,종로구,
447, 신영동삼거리,종로구,6.0
449, 일성아파트,종로구,
450, 효자동 삼거리,종로구,51.0
451, 청와대앞길,종로구,
452, 동대문 종합시장 버스정류장,종로구,13.0
453, 종로오가 지하쇼핑센터 14번출구,종로구,
454, 종로2가 버스정류장 (종각방향),종로구,13.0
455, 종로6가역 버스정류장(동대문 방향),종로구,
456, 숭인2동 주민센터 입구,종로구,
457, 종로꽃시장 입구 옆,종로구,
458, 광화문역 5번출구,종로구,
461, 서울지방경찰청,종로구,
464, 삼청동 골목,종로구,10.0
465, 삼청공원 앞,종로구,
466,롯데호텔,중구,13.0
467,한국은행,중구,11.0
468,웨스틴 조선호텔,중구,8.0
469,회현역 1번출구,중구,11.0
470,회현역 7번출구,중구,13.0
471,회현사거리 남측,중구,10.0
472,삼일교(시그니쳐 타워),중구,12.0
473,을지로4가역 9번출구,중구,20.0
474,동대문역사문화공원역 1번출구 뒤편,중구,40.0
475,DDP 패션몰,중구,21.0
476,광희문,중구,10.0
477,앰배서더 호텔 주변,중구,10.0
479,동대입구역 3번 출구,중구,8.0
480,약수역 6번 출구,중구,8.0
483,남산타운아파트 버스정류장,중구,12.0
485,서울역5번출구,중구,10.0
486, 평창동주민센터 앞,종로구,
488,푸르메병원,마포구,10.0
489,구룡근린공원,마포구,10.0
490,가온문화공원,마포구,23.0
491,월드컵파크 4단지,마포구,10.0
493,홍대입구역 6번출구,마포구,7.0
494,신수동주민센터,마포구,5.0
495,염리초등학교 앞,마포구,10.0
497,합정동주민센터 앞,마포구,25.0
498,연남동주민센터 앞,마포구,10.0
500, 어린이대공원역 3번출구 앞,광진구,7.0
501, 광진구의회 앞,광진구,30.0
502, 뚝섬유원지역 1번출구 앞,광진구,33.0
505, 자양사거리 광진아크로텔 앞,광진구,12.0
506, 금호 어울림 아파트 앞,성동구,
508, 성수아카데미타워 앞,성동구,10.0
510,뚝도아리수정수센터 버스정류소 옆,성동구,15.0
511, 서울숲역 5번 출구 옆,성동구,16.0
512, 뚝섬역 1번 출구 옆,성동구,15.0
513, 뚝섬역 5번 출구 정류소 옆,성동구,13.0
514, 성수사거리 버스정류장 앞,성동구,12.0
515, 광양중학교 앞,광진구,15.0
516, 광진메디칼 앞,광진구,10.0
518, 청계천 박물관 앞,성동구,20.0
519, 양지사거리,성동구,20.0
520, 상왕십리역 4번 출구 앞,성동구,7.0
521, 왕십리역 11번 출구 앞,성동구,14.0
522, 금호역 1번출구 앞,성동구,9.0
523, 옥수동성당 옆,성동구,7.0
524, 래미안금호하이리버 아파트 102동 옆,성동구,10.0
525, 한양대병원사거리,성동구,20.0
526, 용답토속공원 앞,성동구,10.0
529, 장한평역 8번 출구 앞,성동구,8.0
530, 청계벽산아파트 앞,성동구,
533, 금남시장 교차로,성동구,
534, 금호사거리,성동구,10.0
535, 응봉삼거리,성동구,11.0
536, 행당역 2번출구 앞,성동구,
537, 한양대후문역 부근,성동구,
539, 군자교교차로,광진구,10.0
540, 군자역 7번출구 베스트샵 앞,광진구,
542, 강변역 4번출구 뒤,광진구,19.0
543, 구의공원(테크노마트 앞),광진구,20.0
544, 광남중학교,광진구,
546, 잠실대교북단 교차로,광진구,
548, 자양나들목,광진구,
549, 아차산역 3번출구,광진구,
550, 서울시설공단 앞,성동구,20.0
551, 구의삼성쉐르빌 앞,광진구,13.0
552, 대림아크로리버 앞,광진구,
553, 중곡 성원아파트 앞,광진구,
555, 구의3동주민센터,광진구,
556, 달맞이공원,성동구,
557, 도선동 주민센터 앞,성동구,10.0
558, 성동광진 교육지원청 앞,성동구,
559, 왕십리역 4번 출구 건너편,성동구,13.0
560, 비전교회 앞,성동구,8.0
561, 서울숲역 2번출구 앞,성동구,10.0
563, 성동세무서 건너편,성동구,
564, 금호역 3번출구,성동구,
565, 옥수역 3번출구,성동구,19.0
568,청계8가 사거리 B,성동구,
569, 응봉현대아파트 정류소,성동구,10.0
571, 세종대학교 대양AI센터,광진구,20.0
573, 구의문주차장 앞,광진구,10.0
574, 아차산역4번출구,광진구,45.0
575, 대원중고교 입구(대하빌딩),광진구,
576, 광나루역 3번 출구,광진구,
577, 광진청소년수련관,광진구,10.0
578, 성동세무서 부근,성동구,8.0
579, 마장역 4번출구,성동구,
582, 경일중학교 앞,성동구,10.0
583, 청계천 생태교실 앞,성동구,
584, 광진광장 교통섬,광진구,20.0
585, 성수2가1동 공영주차장 인근,성동구,9.0
586, 마장동 주민센터,성동구,10.0
587, 유니베라 앞,성동구,10.0
588, 뚝섬 유원지역,광진구,20.0
590, 건국대학교 (입학정보관),광진구,
591, 건국대학교 (행정관),광진구,
592, 건국대학교 학생회관,광진구,
593,자양중앙나들목,광진구,8.0
594, 중랑물재생센터(서울새활용플라자),성동구,
600, 휘경2동 주민센터,동대문구,10.0
602, 장안동 사거리,동대문구,10.0
605, 신설동역8번출구,동대문구,
606, 휘경공고앞,동대문구,
607, 신이문역 2번출구,동대문구,
608, 전농삼성아파트,동대문구,
609, 제기2교,동대문구,
610, 동대문중 교차로,동대문구,10.0
612, 시립동부병원 앞 사거리,동대문구,20.0
613, 신설동역 10번출구 앞,동대문구,
614, 용두동 사거리,동대문구,23.0
615, 용두동 래미안허브리츠아파트 앞,동대문구,25.0
616,서울시립대 정문 앞 A,동대문구,
617, 청솔우성아파트 앞,동대문구,20.0
621,전농초등학교 건너편,동대문구,8.0
622, 전농사거리 교통섬,동대문구,15.0
623,서울시립대 정문 앞 B,동대문구,
624, 전농동 동아아파트 앞,동대문구,10.0
626, 군자교 서측 녹지대,동대문구,17.0
627, 장안동삼거리 교통섬,동대문구,10.0
628, 휘봉고등학교 앞,동대문구,15.0
630, 동대문구 보건소,동대문구,15.0
631, 답십리역 1번출구,동대문구,15.0
633, 청량리 기업은행 앞,동대문구,8.0
634, 외국어대 정문 앞,동대문구,
635, 시조사 앞,동대문구,
636, 세종대왕기념관 교차로,동대문구,
